epoch,train_loss,val_rmse,val_mae,val_r2,lr
1,0.12261452369292578,39.84281715073363,23.523470878601074,0.6630301773548126,0.001
2,0.0764305257956187,48.30949089172254,32.74204862117767,0.5899822115898132,0.001
3,0.06275249528090159,40.83954625536419,24.673919200897217,0.6315690279006958,0.001
4,0.05362721383770307,44.5747852807244,29.30460810661316,0.5449805557727814,0.001
5,0.04575211679736773,46.278947942729204,28.137847065925598,0.537744015455246,0.001
6,0.041161555401484175,42.274388288278885,27.147511959075928,0.5770919024944305,0.001
7,0.037769116495052976,46.06311181559713,27.91971981525421,0.5014377534389496,0.0005
8,0.02997494761546453,57.29606472165636,38.798227071762085,0.41192057728767395,0.0005
9,0.02789516869286696,61.595750521741735,45.13094091415405,0.3801114559173584,0.0005
10,0.026952812335888546,65.9391966911111,46.50202405452728,0.28942620754241943,0.0005
11,0.025323315995931624,57.384716818022746,36.819868206977844,0.3836902976036072,0.0005
