epoch,train_loss,val_rmse,val_mae,val_r2,lr
1,0.11345197538932164,16.846132335765493,7.344756245613098,0.6857515275478363,0.001
2,0.0729139596660932,15.65283804281008,6.856799483299255,0.7216512560844421,0.001
3,0.06220070508519809,16.71911303538154,8.319384574890137,0.7124914824962616,0.001
4,0.05455813625454903,19.62446007888647,8.54376995563507,0.5727156102657318,0.001
5,0.04913851535916328,18.011734777980454,7.82663106918335,0.5774267613887787,0.001
6,0.04747806165218353,16.842280804374415,7.73496413230896,0.44484245777130127,0.001
7,0.04565639231801033,19.34837500169984,10.079162359237671,0.529640406370163,0.001
8,0.040492158456643425,20.327528250061718,9.516048789024353,0.5086073577404022,0.0005
9,0.03162344116667906,19.28228231222236,8.58679485321045,0.4788113534450531,0.0005
10,0.029336605272690455,20.473246777038025,9.156700015068054,0.5258775353431702,0.0005
11,0.02885155525604884,20.84058129818328,8.476908087730408,0.43922126293182373,0.0005
12,0.02537440805832545,21.38774932445188,9.490208864212036,0.448640912771225,0.0005
